Rk,Player,WS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
321,Noah Clowney,0.9,2023-24,19,BRK,23,4,0,370,50,93,38,60,12,33,21,30,26,55,81,18,8,16,15,25,133,0.538,0.633,0.364,0.7,0.626,0.602,F
322,Dāvis Bertāns,0.9,2023-24,31,"CHO,OKC",43,1,0,674,92,234,16,34,76,200,30,33,9,52,61,35,26,12,18,56,290,0.393,0.471,0.38,0.909,0.583,0.556,F
323,Orlando Robinson,0.9,2023-24,23,MIA,36,7,0,304,36,72,28,57,8,15,19,25,28,56,84,34,7,8,18,35,99,0.5,0.491,0.533,0.76,0.596,0.556,F
324,Dalen Terry,0.8,2023-24,21,CHI,59,2,0,681,69,157,52,83,17,74,25,43,29,84,113,81,27,18,32,81,180,0.439,0.627,0.23,0.581,0.512,0.494,G
325,Damian Jones,0.8,2023-24,28,CLE,39,0,0,270,43,72,40,58,3,14,18,21,20,42,62,15,7,13,13,27,107,0.597,0.69,0.214,0.857,0.659,0.618,F-C
326,Cody Zeller,0.8,2023-24,31,NOP,43,0,0,320,26,62,25,59,1,3,23,38,48,64,112,39,9,5,16,45,76,0.419,0.424,0.333,0.605,0.483,0.427,C-F
327,Ja Morant,0.8,2023-24,24,MEM,9,9,0,318,80,170,66,119,14,51,52,64,6,44,50,73,7,5,27,19,226,0.471,0.555,0.275,0.813,0.57,0.512,G
328,Troy Brown Jr.,0.8,2023-24,24,"DET,MIN",59,15,0,827,84,226,37,85,47,141,32,37,25,119,144,60,24,3,30,42,247,0.372,0.435,0.333,0.865,0.51,0.476,G-F
329,Talen Horton-Tucker,0.8,2023-24,23,UTA,51,11,0,1009,184,465,124,283,60,182,88,109,21,100,121,177,45,19,65,94,516,0.396,0.438,0.33,0.807,0.503,0.46,G-F
330,Lonnie Walker IV,0.8,2023-24,25,BRK,58,0,0,1011,208,492,104,221,104,271,45,59,13,114,127,74,32,20,51,71,565,0.423,0.471,0.384,0.763,0.545,0.528,G
331,Lamar Stevens,0.8,2023-24,26,"BOS,MEM",38,3,0,559,108,240,94,194,14,46,42,54,36,91,127,28,23,22,24,45,272,0.45,0.485,0.304,0.778,0.516,0.479,F
332,Ben Sheppard,0.8,2023-24,22,IND,57,1,0,814,90,229,41,73,49,156,23,26,15,74,89,53,33,2,15,88,252,0.393,0.562,0.314,0.885,0.524,0.5,G
333,Brandon Miller,0.8,2023-24,21,CHO,74,68,0,2383,476,1083,292,590,184,493,143,173,60,255,315,175,66,42,132,184,1279,0.44,0.495,0.373,0.827,0.552,0.524,F-G
334,JaVale McGee,0.7,2023-24,36,SAC,46,0,0,339,79,132,78,125,1,7,26,45,42,84,126,17,14,20,34,46,185,0.598,0.624,0.143,0.578,0.609,0.602,C
335,MarJon Beauchamp,0.7,2023-24,23,MIL,48,1,0,608,81,166,51,91,30,75,19,28,22,77,99,31,13,7,27,54,211,0.488,0.56,0.4,0.679,0.592,0.578,G
336,Omer Yurtseven,0.7,2023-24,25,UTA,48,12,0,545,99,184,94,160,5,24,19,28,72,136,208,29,8,18,37,52,222,0.538,0.588,0.208,0.679,0.565,0.552,C
337,Nassir Little,0.7,2023-24,23,PHO,45,2,0,458,57,124,36,54,21,70,17,20,14,61,75,21,10,10,14,39,152,0.46,0.667,0.3,0.85,0.572,0.544,F
338,Danuel House Jr.,0.7,2023-24,30,PHI,34,4,0,509,47,105,32,55,15,50,35,46,16,42,58,28,15,5,19,45,144,0.448,0.582,0.3,0.761,0.575,0.519,G
339,Chris Duarte,0.7,2023-24,26,SAC,59,11,0,719,80,210,36,83,44,127,26,33,26,80,106,44,28,8,26,80,230,0.381,0.434,0.346,0.788,0.512,0.486,G
340,Max Christie,0.7,2023-24,20,LAL,67,7,0,944,103,241,61,123,42,118,36,46,15,127,142,60,20,17,35,57,284,0.427,0.496,0.356,0.783,0.544,0.515,G
341,P.J. Tucker,0.7,2023-24,38,"LAC,PHI",31,10,0,486,18,50,5,15,13,35,3,3,28,57,85,16,16,7,8,54,52,0.36,0.333,0.371,1,0.507,0.49,F
342,Gui Santos,0.7,2023-24,21,GSW,23,0,0,192,28,55,18,28,10,27,16,17,17,32,49,14,4,2,7,23,82,0.509,0.643,0.37,0.941,0.656,0.6,F
343,Charles Bassey,0.7,2023-24,23,SAS,19,0,0,205,29,40,29,39,0,1,5,6,23,53,76,21,8,17,15,31,63,0.725,0.744,0,0.833,0.739,0.725,C
344,Jontay Porter,0.7,2023-24,24,TOR,26,5,0,360,40,104,20,44,20,60,15,18,26,56,82,60,20,20,21,35,115,0.385,0.455,0.333,0.833,0.514,0.481,F-C
345,Killian Hayes,0.7,2023-24,22,DET,42,31,0,1008,117,283,95,209,22,74,33,50,11,108,119,205,36,20,51,75,289,0.413,0.455,0.297,0.66,0.474,0.452,G
346,Kris Murray,0.7,2023-24,23,POR,62,29,0,1348,145,366,96,183,49,183,37,56,85,139,224,80,53,21,55,92,376,0.396,0.525,0.268,0.661,0.481,0.463,F
347,Jared Butler,0.6,2023-24,23,WAS,40,0,0,566,98,201,74,123,24,78,31,36,9,49,58,126,29,8,50,58,251,0.488,0.602,0.308,0.861,0.579,0.547,G
348,Vit Krejci,0.6,2023-24,23,ATL,22,14,0,541,51,104,23,36,28,68,5,6,11,41,52,50,13,6,20,48,135,0.49,0.639,0.412,0.833,0.633,0.625,G
349,Reggie Bullock,0.6,2023-24,32,HOU,44,0,0,417,34,82,7,15,27,67,1,1,6,67,73,15,12,5,10,29,96,0.415,0.467,0.403,1,0.582,0.579,G-F
350,Cam Reddish,0.6,2023-24,24,LAL,48,26,0,984,91,234,54,124,37,110,41,54,27,72,99,48,47,14,31,64,260,0.389,0.435,0.336,0.759,0.504,0.468,F
351,Bryce McGowens,0.6,2023-24,21,CHO,59,14,0,882,101,230,67,128,34,102,66,85,17,85,102,51,21,10,30,74,302,0.439,0.523,0.333,0.776,0.565,0.513,G-F
352,Eugene Omoruyi,0.6,2023-24,26,WAS,43,0,0,393,81,167,68,121,13,46,32,49,35,50,85,35,27,5,21,62,207,0.485,0.562,0.283,0.653,0.549,0.524,F
353,Jeremiah Robinson-Earl,0.6,2023-24,23,NOP,39,1,0,334,45,95,32,56,13,39,12,16,23,53,76,21,10,4,16,24,115,0.474,0.571,0.333,0.75,0.564,0.542,F
354,Shake Milton,0.6,2023-24,27,"DET,MIN,NYK",48,0,0,581,79,195,61,131,18,64,40,49,14,61,75,60,19,6,31,54,216,0.405,0.466,0.281,0.816,0.499,0.451,G
355,Jeff Dowtin,0.6,2023-24,26,PHI,12,0,0,142,20,36,11,17,9,19,3,4,3,17,20,27,7,1,5,1,52,0.556,0.647,0.474,0.75,0.689,0.681,G
356,Lester Quinones,0.6,2023-24,23,GSW,37,0,0,394,56,141,24,53,32,88,20,29,21,51,72,36,6,2,17,44,164,0.397,0.453,0.364,0.69,0.533,0.511,G
357,JT Thor,0.6,2023-24,21,CHO,63,3,0,781,80,183,52,102,28,81,11,20,43,103,146,29,11,27,15,60,199,0.437,0.51,0.346,0.55,0.519,0.514,F
358,Jaden Springer,0.6,2023-24,21,"BOS,PHI",49,2,0,507,59,148,49,100,10,48,35,42,33,45,78,44,36,15,34,66,163,0.399,0.49,0.208,0.833,0.49,0.432,G
359,Tosan Evbuomwan,0.5,2023-24,22,"DET,MEM",17,8,0,367,36,71,24,39,12,32,17,25,18,42,60,16,6,5,9,23,101,0.507,0.615,0.375,0.68,0.616,0.592,F
360,Stanley Umude,0.5,2023-24,24,DET,24,2,0,307,37,84,13,31,24,53,29,32,8,43,51,11,8,7,14,40,127,0.44,0.419,0.453,0.906,0.647,0.583,G
361,Olivier-Maxence Prosper,0.5,2023-24,21,DAL,40,1,0,336,40,104,27,59,13,45,28,41,25,54,79,22,7,4,8,20,121,0.385,0.458,0.289,0.683,0.496,0.447,F
362,Matt Ryan,0.5,2023-24,26,NOP,28,1,0,390,49,113,8,22,41,91,13,14,6,34,40,18,6,1,19,32,152,0.434,0.364,0.451,0.929,0.638,0.615,F
363,Malachi Flynn,0.5,2023-24,25,"DET,NYK,TOR",69,0,0,876,136,325,80,156,56,169,52,71,21,93,114,130,38,8,63,66,380,0.418,0.513,0.331,0.732,0.533,0.505,G
364,Dalano Banton,0.5,2023-24,24,"BOS,POR",54,9,0,1047,202,500,143,301,59,199,94,120,41,137,178,127,33,20,77,64,557,0.404,0.475,0.296,0.783,0.504,0.463,G-F
365,Seth Curry,0.5,2023-24,33,"CHO,DAL",44,4,0,616,80,204,42,96,38,108,28,31,18,50,68,44,22,6,21,39,226,0.392,0.438,0.352,0.903,0.519,0.485,G
366,Jordan Nwora,0.5,2023-24,25,"IND,TOR",52,1,0,712,138,299,94,168,44,131,44,53,28,121,149,62,26,13,53,48,364,0.462,0.56,0.336,0.83,0.565,0.535,F
367,Leaky Black,0.5,2023-24,24,CHO,26,3,0,284,25,52,16,32,9,20,10,15,9,39,48,24,8,11,6,19,69,0.481,0.5,0.45,0.667,0.589,0.567,F
368,Jamal Cain,0.5,2023-24,24,MIA,26,1,0,259,34,79,23,48,11,31,18,23,15,22,37,10,10,5,8,22,97,0.43,0.479,0.355,0.783,0.544,0.5,F
369,Shaedon Sharpe,0.5,2023-24,20,POR,32,25,0,1059,176,434,116,254,60,180,98,119,42,118,160,94,28,12,72,88,510,0.406,0.457,0.333,0.824,0.524,0.475,G
370,Kessler Edwards,0.5,2023-24,23,SAC,54,0,0,275,34,82,14,30,20,52,5,9,9,33,42,15,10,4,4,26,93,0.415,0.467,0.385,0.556,0.541,0.537,F
371,Jaden Ivey,0.5,2023-24,21,DET,77,61,0,2217,417,973,293,604,124,369,227,303,86,178,264,296,57,41,190,204,1185,0.429,0.485,0.336,0.749,0.536,0.492,G
372,Kobe Brown,0.5,2023-24,24,LAC,44,0,0,394,37,90,23,42,14,48,1,2,20,42,62,25,12,6,9,49,89,0.411,0.548,0.292,0.5,0.49,0.489,G-F
373,Bilal Coulibaly,0.4,2023-24,19,WAS,63,15,0,1715,188,432,124,247,64,185,92,131,56,200,256,110,57,48,87,137,532,0.435,0.502,0.346,0.702,0.543,0.509,F
374,Aleksej Pokusevski,0.4,2023-24,22,"CHO,OKC",28,0,0,405,49,121,31,66,18,55,30,41,17,72,89,35,15,13,19,22,146,0.405,0.47,0.327,0.732,0.525,0.479,F
375,Wesley Matthews,0.4,2023-24,37,ATL,36,3,0,413,34,97,10,28,24,69,18,24,9,44,53,23,16,11,8,43,110,0.351,0.357,0.348,0.75,0.511,0.474,G
376,Josh Minott,0.4,2023-24,21,MIN,32,0,0,91,17,36,13,26,4,10,12,14,4,13,17,8,5,5,2,10,50,0.472,0.5,0.4,0.857,0.593,0.528,F
377,Luka Garza,0.4,2023-24,25,MIN,25,0,0,122,36,75,27,43,9,32,18,25,19,12,31,4,4,1,6,24,99,0.48,0.628,0.281,0.72,0.576,0.54,F-C
378,Ousmane Dieng,0.4,2023-24,20,OKC,33,0,0,365,49,116,28,46,21,70,14,16,10,41,51,37,8,5,19,22,133,0.422,0.609,0.3,0.875,0.54,0.513,F
379,Jarace Walker,0.4,2023-24,20,IND,33,0,0,340,45,110,23,55,22,55,8,9,12,51,63,40,15,11,17,29,120,0.409,0.418,0.4,0.889,0.527,0.509,F
380,Skylar Mays,0.4,2023-24,26,"LAL,POR",38,5,0,433,63,159,47,105,16,54,13,17,10,33,43,85,21,4,20,26,155,0.396,0.448,0.296,0.765,0.466,0.447,G
381,Kevin Knox,0.4,2023-24,24,DET,31,11,0,560,86,186,55,92,31,94,20,22,18,57,75,23,13,7,22,50,223,0.462,0.598,0.33,0.909,0.57,0.546,F
382,Derrick Rose,0.4,2023-24,35,MEM,24,7,0,399,76,165,61,124,15,41,24,27,7,38,45,78,8,2,31,21,191,0.461,0.492,0.366,0.889,0.54,0.506,G
383,Olivier Sarr,0.4,2023-24,24,OKC,15,0,0,98,11,19,9,13,2,6,10,15,10,26,36,2,0,7,3,18,34,0.579,0.692,0.333,0.667,0.664,0.632,C
384,Saben Lee,0.4,2023-24,24,PHO,24,0,0,185,20,55,18,39,2,16,29,39,9,22,31,30,7,3,8,13,71,0.364,0.462,0.125,0.744,0.492,0.382,G
385,Vasilije Micić,0.4,2023-24,30,"CHO,OKC",60,21,0,1176,159,370,116,216,43,154,61,75,14,74,88,262,31,7,99,68,422,0.43,0.537,0.279,0.813,0.524,0.488,G
386,Anthony Gill,0.4,2023-24,31,WAS,50,3,0,466,75,160,65,119,10,41,29,36,37,57,94,34,13,11,23,48,189,0.469,0.546,0.244,0.806,0.537,0.5,F
387,Johnny Juzang,0.4,2023-24,22,UTA,20,5,0,372,51,110,19,33,32,77,10,14,7,29,36,23,4,2,13,29,144,0.464,0.576,0.416,0.714,0.62,0.609,G
388,Furkan Korkmaz,0.4,2023-24,26,PHI,35,0,0,300,30,76,16,36,14,40,14,20,4,26,30,25,14,3,10,17,88,0.395,0.444,0.35,0.7,0.519,0.487,G
389,Robert Williams,0.4,2023-24,26,POR,6,0,0,119,17,26,17,26,0,0,7,9,11,27,38,5,7,7,7,17,41,0.654,0.654,,0.778,0.684,0.654,C-F
390,Collin Gillespie,0.4,2023-24,24,DEN,24,0,0,225,32,69,17,31,15,38,8,12,1,20,21,27,13,0,14,24,87,0.464,0.548,0.395,0.667,0.586,0.572,G
391,Leonard Miller,0.3,2023-24,20,MIN,17,0,0,52,13,20,11,15,2,5,1,2,5,15,20,8,2,1,1,5,29,0.65,0.733,0.4,0.5,0.694,0.7,F
392,Dru Smith,0.3,2023-24,26,MIA,9,0,0,131,15,33,8,16,7,17,2,2,6,8,14,14,9,3,5,12,39,0.455,0.5,0.412,1,0.576,0.561,G
393,Marques Bolden,0.3,2023-24,25,"CHO,MIL",11,2,0,121,17,25,17,24,0,1,3,4,10,24,34,4,3,7,3,10,37,0.68,0.708,0,0.75,0.691,0.68,C
394,Moussa Diabaté,0.3,2023-24,22,LAC,11,0,0,64,10,19,10,19,0,0,9,14,15,9,24,4,5,1,2,4,29,0.526,0.526,,0.643,0.576,0.526,F
395,Landry Shamet,0.3,2023-24,26,WAS,46,5,0,726,118,274,65,117,53,157,38,46,16,46,62,54,25,10,30,76,327,0.431,0.556,0.338,0.826,0.556,0.527,G
396,Sidy Cissoko,0.3,2023-24,19,SAS,12,0,0,141,16,33,15,21,1,12,12,15,8,14,22,10,7,3,3,18,45,0.485,0.714,0.083,0.8,0.568,0.5,G
397,Dylan Windler,0.3,2023-24,27,"ATL,LAL,NYK",17,0,0,108,15,30,2,3,13,27,0,0,3,13,16,10,2,0,2,6,43,0.5,0.667,0.481,,0.717,0.717,G-F
398,Mãozinha Pereira,0.3,2023-24,23,MEM,7,1,0,122,18,35,13,22,5,13,7,10,11,26,37,2,6,4,5,10,48,0.514,0.591,0.385,0.7,0.609,0.586,F
399,Jared Rhoden,0.3,2023-24,24,DET,17,0,0,245,33,66,21,35,12,31,5,8,3,30,33,14,3,13,7,28,83,0.5,0.6,0.387,0.625,0.597,0.591,G
400,Brandon Clarke,0.3,2023-24,27,MEM,6,1,0,134,33,59,32,53,1,6,1,7,13,19,32,9,5,6,3,8,68,0.559,0.604,0.167,0.143,0.548,0.568,F
401,Jeenathan Williams,0.3,2023-24,24,HOU,22,0,0,129,27,50,25,45,2,5,7,13,12,11,23,7,4,1,4,10,63,0.54,0.556,0.4,0.538,0.565,0.56,G
402,Jaden Hardy,0.3,2023-24,21,DAL,73,7,0,989,195,479,114,255,81,224,59,76,20,111,131,109,22,4,62,80,530,0.407,0.447,0.362,0.776,0.517,0.492,G
403,Nate Hinton,0.3,2023-24,24,HOU,15,0,0,75,11,26,4,12,7,14,4,5,7,15,22,10,3,2,3,11,33,0.423,0.333,0.5,0.8,0.585,0.558,G
404,Micah Potter,0.3,2023-24,25,UTA,16,0,0,186,19,40,10,19,9,21,6,8,10,33,43,6,4,6,5,14,53,0.475,0.526,0.429,0.75,0.609,0.588,C
405,Justin Champagnie,0.3,2023-24,22,WAS,15,1,0,235,32,78,19,33,13,45,12,15,19,34,53,19,10,9,10,14,89,0.41,0.576,0.289,0.8,0.526,0.494,F
406,Kenneth Lofton Jr.,0.3,2023-24,21,"MEM,PHI,UTA",21,0,0,199,36,78,29,54,7,24,17,26,12,26,38,33,6,5,14,24,96,0.462,0.537,0.292,0.654,0.537,0.506,F
407,Terry Taylor,0.3,2023-24,24,CHI,31,0,0,188,20,39,18,30,2,9,4,5,17,20,37,10,5,2,7,17,46,0.513,0.6,0.222,0.8,0.558,0.538,G-F
408,Darius Bazley,0.3,2023-24,23,"PHI,UTA",9,0,0,152,18,30,16,22,2,8,10,12,8,20,28,7,6,7,8,3,48,0.6,0.727,0.25,0.833,0.68,0.633,F
409,Chuma Okeke,0.3,2023-24,25,ORL,47,8,0,432,40,112,17,30,23,82,4,7,18,62,80,20,9,7,16,19,107,0.357,0.567,0.28,0.571,0.465,0.46,F
410,Otto Porter Jr.,0.3,2023-24,30,TOR,15,1,0,174,14,33,6,10,8,23,3,3,6,23,29,8,5,5,2,19,39,0.424,0.6,0.348,1,0.568,0.545,F
411,Gradey Dick,0.3,2023-24,20,TOR,60,17,0,1268,189,445,101,204,88,241,44,51,27,105,132,68,34,2,50,87,510,0.425,0.495,0.365,0.863,0.546,0.524,G
412,Ryan Rollins,0.3,2023-24,21,"MIL,WAS",13,0,0,78,14,27,11,23,3,4,13,17,2,11,13,14,10,3,8,8,44,0.519,0.478,0.75,0.765,0.638,0.574,G
413,Marcus Smart,0.2,2023-24,29,MEM,20,20,0,605,102,237,60,103,42,134,43,56,6,47,53,86,41,5,62,53,289,0.43,0.583,0.313,0.768,0.552,0.519,G
414,Javon Freeman-Liberty,0.2,2023-24,24,TOR,22,6,0,403,55,124,45,82,10,42,33,36,16,54,70,40,10,4,25,28,153,0.444,0.549,0.238,0.917,0.547,0.484,G
415,Trent Forrest,0.2,2023-24,25,ATL,38,0,0,414,34,90,32,80,2,10,13,17,11,40,51,92,11,3,20,25,83,0.378,0.4,0.2,0.765,0.426,0.389,G
416,Udoka Azubuike,0.2,2023-24,24,PHO,16,0,0,113,16,23,16,23,0,0,3,13,11,21,32,3,1,6,4,17,35,0.696,0.696,,0.231,0.609,0.696,C
417,A.J. Lawson,0.2,2023-24,23,DAL,42,0,0,311,54,121,41,71,13,50,15,23,14,36,50,20,10,3,14,22,136,0.446,0.577,0.26,0.652,0.519,0.5,G
418,Braxton Key,0.2,2023-24,26,DEN,20,0,0,60,7,17,5,12,2,5,6,8,3,15,18,9,2,1,1,5,22,0.412,0.417,0.4,0.75,0.536,0.471,F
419,Jermaine Samuels,0.2,2023-24,25,HOU,14,0,0,60,9,14,9,12,0,2,2,2,3,10,13,3,1,2,0,5,20,0.643,0.75,0,1,0.672,0.643,F
420,Jay Huff,0.2,2023-24,25,DEN,20,0,0,49,9,15,6,6,3,9,2,2,2,9,11,2,2,3,1,9,23,0.6,1,0.333,1,0.724,0.7,F-C
421,Ibou Badji,0.2,2023-24,21,POR,22,1,0,226,14,22,14,22,0,0,6,12,20,31,51,13,3,20,15,46,34,0.636,0.636,,0.5,0.623,0.636,C
422,Julian Phillips,0.2,2023-24,20,CHI,40,0,0,323,32,77,20,39,12,38,13,19,12,24,36,13,7,7,10,40,89,0.416,0.513,0.316,0.684,0.521,0.494,F
423,Cory Joseph,0.2,2023-24,32,GSW,26,0,0,296,23,64,10,22,13,42,4,7,6,24,30,42,4,3,12,25,63,0.359,0.455,0.31,0.571,0.47,0.461,G
424,Ziaire Williams,0.2,2023-24,22,MEM,51,15,0,1038,150,378,92,189,58,189,62,75,35,145,180,75,36,9,66,85,420,0.397,0.487,0.307,0.827,0.511,0.474,F
425,Patrick Baldwin Jr.,0.2,2023-24,21,WAS,38,7,0,493,59,155,28,58,31,97,19,28,17,106,123,29,18,15,19,56,168,0.381,0.483,0.32,0.679,0.502,0.481,G-F
426,Jordan Clarkson,0.2,2023-24,31,UTA,55,19,0,1682,337,816,246,507,91,309,177,201,49,139,188,277,35,6,146,81,942,0.413,0.485,0.294,0.881,0.521,0.469,G
427,Oscar Tshiebwe,0.2,2023-24,24,IND,8,0,0,42,10,20,10,20,0,0,6,8,8,8,16,2,2,1,0,3,26,0.5,0.5,,0.75,0.553,0.5,F
428,Garrett Temple,0.2,2023-24,37,TOR,27,2,0,289,29,78,17,38,12,40,18,22,18,27,45,28,12,3,14,28,88,0.372,0.447,0.3,0.818,0.502,0.449,G
429,Mouhamed Gueye,0.2,2023-24,21,ATL,6,0,0,73,8,23,5,14,3,9,5,6,10,12,22,4,5,4,1,13,24,0.348,0.357,0.333,0.833,0.468,0.413,F
430,Jevon Carter,0.2,2023-24,28,CHI,72,0,0,1004,138,365,61,131,77,234,4,7,11,49,60,94,37,16,36,71,357,0.378,0.466,0.329,0.571,0.485,0.484,G
431,Trevelin Queen,0.2,2023-24,26,ORL,14,0,0,165,14,38,11,21,3,17,9,12,3,17,20,18,7,5,7,15,40,0.368,0.524,0.176,0.75,0.462,0.408,G
432,Boban Marjanović,0.2,2023-24,35,HOU,14,0,0,71,18,34,18,32,0,2,9,14,7,25,32,6,1,2,5,5,45,0.529,0.563,0,0.643,0.56,0.529,C
433,Taj Gibson,0.2,2023-24,38,"DET,NYK",20,1,0,204,15,37,13,27,2,10,2,2,12,25,37,11,3,7,5,31,34,0.405,0.481,0.2,1,0.449,0.432,F-C
434,JD Davison,0.2,2023-24,21,BOS,8,0,0,39,5,12,2,5,3,7,3,4,2,8,10,10,1,1,2,4,16,0.417,0.4,0.429,0.75,0.581,0.542,G
435,Adama Sanogo,0.2,2023-24,21,CHI,9,0,0,66,14,27,14,27,0,0,8,12,19,17,36,0,1,0,5,5,36,0.519,0.519,,0.667,0.558,0.519,F
436,Moses Brown,0.2,2023-24,24,POR,22,5,0,200,33,65,33,65,0,0,9,31,37,49,86,7,5,7,11,27,75,0.508,0.508,,0.29,0.477,0.508,C
437,Kyle Kuzma,0.2,2023-24,28,WAS,70,70,0,2281,608,1313,457,863,151,450,186,240,62,402,464,296,37,49,192,153,1553,0.463,0.53,0.336,0.775,0.547,0.521,F
438,Julian Strawther,0.2,2023-24,21,DEN,50,0,0,545,82,222,41,84,41,138,22,31,5,56,61,47,17,7,23,54,227,0.369,0.488,0.297,0.71,0.482,0.462,F
